Player;BirthPlace;Year
Dickie Boon;Canada;1899
Joe Hall;United Kingdom;1902
Ernie Russell;Canada;1904
Frank Rankin;Canada;1904
Tommy Smith;Canada;1905
Harry Hyland;Canada;1908
Harry Cameron;Canada;1912
Eddie Lowrey;Canada;1912
Clint Benedict;Canada;1912
Bert Corbeau;Canada;1914
Dave Ritchie;Canada;1914
Jack Adams;Canada;1917
Jack McDonald;Canada;1917
Harry Meeking;Canada;1917
Babe Dye;Canada;1919
Bullet Joe Simpson;Canada;1921
Billy Burch;United States;1922
Ganton Scott;Canada;1922
Aurèle Joliat;Canada;1922
Howie Morenz;Canada;1923
Johnny Gagnon;Canada;1923
Shorty Green;Canada;1923
Hap Day;Canada;1924
Mike Neville;Canada;1924
Jimmy Herbert;Canada;1924
Werner Schnarr;Canada;1924
Frank Ingram;Canada;1924
Fred Gordon;Canada;1924
Stan Brown;Canada;1925
Stan McCabe;Canada;1926
Eddie Shore;Canada;1926
Alfie Moore;Canada;1926
Albert Hughes;Canada;1926
Larry Aurie;Canada;1926
Ace Bailey;Canada;1926
Doug Brennan;Canada;1926
Jimmy Ward;Canada;1927
Myles Lane;United States;1928
Earl Robinson;Canada;1928
Tiny Thompson;Canada;1928
Frank Daley;Canada;1928
Al Murray;Canada;1928
Lawrence Northcott;Canada;1928
George Owen;Canada;1928
Benny Grant;Canada;1928
Yip Foster;Canada;1929
Ehrhardt Heller;Canada;1929
Charlie Conacher;Canada;1929
Busher Jackson;Canada;1929
Alex Levinsky;United States;1930
Bob Gracie;Canada;1930
Art Alexandre;Canada;1931
Bob Davis;Canada;1932
Art Coulter;Canada;1932
Bryan Hextall;Canada;1933
Clarence Drouillard;Canada;1934
Toe Blake;Canada;1934
Bob Davidson;Canada;1934
Art Jackson;Canada;1934
Bill Cowley;Canada;1934
Phil Bessler;Canada;1935
Joe Cooper;Canada;1935
Ray Getliffe;Canada;1935
Bobby Bauer;Canada;1935
Woody Dumart;Canada;1935
Cully Dahlstrom;United States;1937
Maurice Croghan;Canada;1937
Ab DeMarco;Canada;1937
Connie Dion;Canada;1937
Oscar Aubuchon;Canada;1938
George Allen;Canada;1938
Larry Thibeault;Canada;1938
Hank Goldup;Canada;1939
Art Herchenratter;Canada;1940
Clarence Behling;Canada;1940
Ken Reardon;Canada;1940
Joe Benoit;Canada;1940
Elmer Lach;Canada;1940
Fred Thurier;Canada;1940
Bob Goldham;Canada;1941
Chuck Rayner;Canada;1941
Jack Schmidt;Canada;1942
Bep Guidolin;Canada;1942
Tony Bukovich;United States;1943
Pentti Lund;Finland;1943
Fernie Flaman;Canada;1943
Joe Schmidt;Canada;1943
Leo Reise Jr.;Canada;1945
Howie Meeker;Canada;1946
Fred Glover;Canada;1946
Glen Smith;Canada;1948
Bert Olmstead;Canada;1948
Johnny Wilson;Canada;1949
Earl Johnson;Canada;1949
Larry Wilson;Canada;1949
Paul Masnick;Canada;1949
Marcel Pronovost;Canada;1949
Len Haley;Canada;1950
Don Simmons;Canada;1951
Jim Bartlett;Canada;1951
Leo Boivin;Canada;1951
Earl Balfour;Canada;1952
Andy Bathgate;Canada;1952
Ron Stewart;Canada;1952
Warren Godfrey;Canada;1952
Claude Pronovost;Canada;1952
Bill McCreary Sr.;Canada;1953
Hank Bassen;Canada;1954
Marc Reaume;Canada;1954
Ed Diachuk;Canada;1955
Aut Erickson;Canada;1955
Tom McCarthy;Canada;1955
Henri Richard;Canada;1955
Gilles Tremblay;Canada;1956
Cummy Burton;Canada;1956
Ulf Sterner;Sweden;1956
Mel Pearson;Canada;1957
Murray Balfour;Canada;1957
Bob Nevin;Canada;1957
Les Hunt;Canada;1957
Gene Ubriaco;Canada;1958
Lloyd Haddon;Canada;1958
Bryan Hextall Jr.;Canada;1958
Len Lunde;Canada;1958
Howie Glover;Canada;1958
Gilles Boisvert;Canada;1959
Dave Balon;Canada;1959
Eddie Giacomin;Canada;1959
Vic Hadfield;Canada;1959
Cesare Maniago;Canada;1960
Red Armstrong;Canada;1960
Keith McCreary;Canada;1961
Ed Westfall;Canada;1961
Jim Neilson;Canada;1962
Gilles Villemure;Canada;1963
Ernie Hicke;Canada;1963
Bill Goldsworthy;Canada;1964
Dennis Hull;Canada;1964
Wally Boyer;Canada;1965
Ray Cullen;Canada;1965
Ron Huston;Canada;1965
Gary Smith;Canada;1965
Jim Krulicki;Canada;1966
Tracy Pratt;United States;1967
Bobby Schmautz;Canada;1967
Barry Gibbs;Canada;1967
Rosaire Paiement;Canada;1967
Frank St. Marseille;Canada;1967
George Konik;Canada;1967
Larry Pleau;United States;1968
Rick Ley;Canada;1968
Len Fontaine;Canada;1968
John Marks;Canada;1968
Moe L'Abbé;Canada;1968
Guy Lapointe;Canada;1968
Michel Plasse;Canada;1968
Rick Smith;Canada;1968
Timo Turunen;Finland;1969
Nick Harbaruk;Poland;1969
Gilles Gilbert;Canada;1969
Steve Andrascik;Canada;1969
Brian Spencer;Canada;1969
Dan Bouchard;Canada;1970
Ron Busniuk;Canada;1970
Larry Romanchych;Canada;1970
Fred Barrett;Canada;1970
Robin Burns;Canada;1970
Gerry O'Flaherty;United States;1971
Jerry Korab;Canada;1971
Marcel Dionne;Canada;1971
Guy Lafleur;Canada;1971
Bob Stewart;Canada;1971
Garry Howatt;Canada;1972
George Ferguson;Canada;1972
Don Lever;Canada;1972
Gregg Sheppard;Canada;1972
Marty Howe;United States;1973
Nelson Pyatt;Canada;1973
Blaine Stoughton;Canada;1973
André Savard;Canada;1973
Dean Talafous;United States;1974
Danny Gare;Canada;1974
Paul Baxter;Canada;1974
Clark Gillies;Canada;1974
Mike Rogers;Canada;1974
Wilf Paiement;Canada;1974
Bryan Trottier;Canada;1975
Barry Dean;Canada;1975
Gordon Laxton;Canada;1975
John Tonelli;Canada;1975
Rick Blight;Canada;1975
Peter Helander;Sweden;1975
Greg Fox;Canada;1976
Brian Sutter;Canada;1976
Don Murdoch;Canada;1976
Bob Sauvé;Canada;1976
Rob Tudor;Canada;1976
Ron Wilson;Canada;1976
Roy Sommer;United States;1977
Kevin Primeau;Canada;1977
Mike Bossy;Canada;1977
Ron Duguay;Canada;1977
Barry Beck;Canada;1977
Al Secord;Canada;1978
Drew Callander;Canada;1978
Bill Derlago;Canada;1978
Greg Millen;Canada;1978
Bobby Smith;Canada;1978
Glen Cochrane;Canada;1978
Jyrki Seppä;Finland;1979
Lindy Ruff;Canada;1979
Greg Theberge;Canada;1979
Mike Foligno;Canada;1979
Jim Dobson;Canada;1979
Dave Silk;United States;1980
Neal Broten;United States;1980
Ken Morrow;United States;1980
Petteri Lehto;Finland;1980
John Barrett;Canada;1980
Denis Cyr;Canada;1980
Dino Ciccarelli;Canada;1980
Glenn Anderson;Canada;1980
Marc Chorney;Canada;1980
Walt Poddubny;Canada;1980
Jim Malone;Canada;1980
Normand Rochefort;Canada;1980
Andy Moog;Canada;1980
Bobby Carpenter;United States;1981
Mark Hunter;Canada;1981
Ernie Godden;Canada;1981
Jim Nill;Canada;1981
Gord Hampson;Canada;1981
Andy Schliebener;Canada;1981
Carey Wilson;Canada;1981
Kevin McClelland;Canada;1981
Garth Butcher;Canada;1981
Doug Shedden;Canada;1981
Greg Gilbert;Canada;1981
Perry Anderson;Canada;1981
Corrado Micalef;Canada;1981
Randy Hillier;Canada;1981
Ville Sirén;Finland;1982
Sylvain Côté;Canada;1982
Frank Caprice;Canada;1982
Paul Boutilier;Canada;1982
Gord Kluzak;Canada;1982
Mike Vernon;Canada;1982
Ken Leiter;United States;1983
Ken Daneyko;Canada;1983
Todd Bergen;Canada;1983
Jim Playfair;Canada;1983
Claude Lemieux;Canada;1983
Calle Johansson;Sweden;1983
Wayne Presley;United States;1984
David Ellett;United States;1984
Craig Coxe;United States;1984
Daryl Reaugh;Canada;1984
Marc Bergevin;Canada;1984
Grant Ledyard;Canada;1984
Dave Gagner;Canada;1984
John Carter;United States;1985
Larry DePalma;United States;1985
Jyrki Lumme;Finland;1985
Kevin Evans;Canada;1985
Dan Hodgson;Canada;1985
Randy Burridge;Canada;1985
Brian Skrudland;Canada;1985
Shane Churla;Canada;1985
Bob Halkidis;Canada;1985
Bill Ranford;Canada;1985
Glenn Healy;Canada;1985
Craig Simpson;Canada;1985
Cliff Ronning;Canada;1985
Ulf Dahlén;Sweden;1985
Bob Sweeney;United States;1986
Vincent Damphousse;Canada;1986
Doug Houda;Canada;1986
Jim Agnew;Canada;1986
Norm Maciver;Canada;1986
Scott Mellanby;Canada;1986
Robert Dirk;Canada;1986
Benoît Hogue;Canada;1986
Philippe Bozon;France;1986
Olie Sundström;Sweden;1986
Brian Noonan;United States;1987
Brian Leetch;United States;1987
Peter Taglianetti;United States;1987
